tui,name,treeNumber,definition,group_abbr,group_name
T001,Organism,A1.1,"Generally, a living individual, including all plants and animals.",LIVB,Living Beings
T002,Plant,A1.1.3.3,"An organism having cellulose cell walls, growing by synthesis of inorganic substances, generally distinguished by the presence of chlorophyll, and lacking the power of locomotion. Plant parts are included here as well.",LIVB,Living Beings
T004,Fungus,A1.1.3.2,"A eukaryotic organism characterized by the absence of chlorophyll and the presence of a rigid cell wall. Included here are both slime molds and true fungi such as yeasts, molds, mildews, and mushrooms.",LIVB,Living Beings
T005,Virus,A1.1.4,An organism consisting of a core of a single nucleic acid enclosed in a protective coat of protein. A virus may replicate only inside a host living cell. A virus exhibits some but not all of the usual characteristics of living things.,LIVB,Living Beings
T007,Bacterium,A1.1.2,"A small, typically one-celled, prokaryotic micro-organism.",LIVB,Living Beings
T008,Animal,A1.1.3.1,"An organism with eukaryotic cells, and lacking stiff cell walls, plastids and photosynthetic pigments.",LIVB,Living Beings
T010,Vertebrate,A1.1.3.1.1,An animal which has a spinal column.,LIVB,Living Beings
T011,Amphibian,A1.1.3.1.1.1,"A cold-blooded, smooth-skinned vertebrate which characteristically hatches as an aquatic larva, breathing by gills. When mature, the amphibian breathes with lungs.",LIVB,Living Beings
T012,Bird,A1.1.3.1.1.2,A vertebrate having a constant body temperature and characterized by the presence of feathers.,LIVB,Living Beings
T013,Fish,A1.1.3.1.1.3,"A cold-blooded aquatic vertebrate characterized by fins and breathing by gills. Included here are fishes having either a bony skeleton, such as a perch, or a cartilaginous skeleton, such as a shark, or those lacking a jaw, such as a lamprey or hagfish.",LIVB,Living Beings
T014,Reptile,A1.1.3.1.1.5,A cold-blooded vertebrate having an external covering of scales or horny plates. Reptiles breathe by means of lungs and are generally egg-laying.,LIVB,Living Beings
T015,Mammal,A1.1.3.1.1.4,"A vertebrate having a constant body temperature and characterized by the presence of hair, mammary glands and sweat glands.",LIVB,Living Beings
T016,Human,A1.1.3.1.1.4.1,"Modern man, the only remaining species of the Homo genus.",LIVB,Living Beings
T017,Anatomical Structure,A1.2,A normal or pathological part of the anatomy or structural organization of an organism.,ANAT,Anatomy
T018,Embryonic Structure,A1.2.1,"An anatomical structure that exists only before the organism is fully formed; in mammals, for example, a structure that exists only prior to the birth of the organism. This structure may be normal or abnormal.",ANAT,Anatomy
T019,Congenital Abnormality,A1.2.2.1,"An abnormal structure, or one that is abnormal in size or location, present at birth or evolving over time as a result of a defect in embryogenesis.",DISO,Disorders
T020,Acquired Abnormality,A1.2.2.2,"An abnormal structure, or one that is abnormal in size or location, found in or deriving from a previously normal structure. Acquired abnormalities are distinguished from diseases even though they may result in pathological functioning (e.g., ""hernias incarcerate"").",DISO,Disorders
T021,Fully Formed Anatomical Structure,A1.2.3,"An anatomical structure in a fully formed organism; in mammals, for example, a structure in the body after the birth of the organism.",ANAT,Anatomy
T022,Body System,A2.1.4.1,A complex of anatomical structures that performs a common function.,ANAT,Anatomy
T023,"Body Part, Organ, or Organ Component",A1.2.3.1,A collection of cells and tissues which are localized to a specific area or combine and carry out one or more specialized functions of an organism. This ranges from gross structures to small components of complex organs. These structures are relatively localized in comparison to tissues.,ANAT,Anatomy
T024,Tissue,A1.2.3.2,"An aggregation of similarly specialized cells and the associated intercellular substance. Tissues are relatively non-localized in comparison to body parts, organs or organ components.",ANAT,Anatomy
T025,Cell,A1.2.3.3,The fundamental structural and functional unit of living organisms.,ANAT,Anatomy
T026,Cell Component,A1.2.3.4,"A part of a cell or the intercellular matrix, generally visible by light microscopy.",ANAT,Anatomy
