model,id,ground_truth,original_greedy,original_uq_correct,original_uq,original_correct,original_consistency,perturbation_type,greedy_consistency,uq_consistency_rate,greedy_accuracy,uq_accuracy,mean_uq_score,flip_rate
BioMistral-7B,0,C,B,False,B,False,0.8,typo,1.0,1.0,0.0,0.0,0.7999999999999999,0.0
BioMistral-7B,0,C,B,False,B,False,0.8,synonym,1.0,1.0,0.0,0.0,0.96,0.0
BioMistral-7B,0,C,B,False,B,False,0.8,shuffle,1.0,0.8,0.0,0.0,0.74,0.0
BioMistral-7B,0,C,B,False,B,False,0.8,truncate,1.0,1.0,0.0,0.0,0.8400000000000001,0.0
BioMistral-7B,0,C,B,False,B,False,0.8,paraphrase,1.0,1.0,0.0,0.0,0.8699999999999999,0.0
BioMistral-7B,1,E,C,False,C,False,0.55,typo,0.6,0.2,0.4,0.8,0.44,0.4
BioMistral-7B,1,E,C,False,C,False,0.55,synonym,0.0,0.4,1.0,0.6,0.43,1.0
BioMistral-7B,1,E,C,False,C,False,0.55,shuffle,0.2,0.4,0.8,0.6,0.4699999999999999,0.8
BioMistral-7B,1,E,C,False,C,False,0.55,truncate,0.0,0.4,1.0,0.6,0.53,1.0
BioMistral-7B,1,E,C,False,C,False,0.55,paraphrase,0.0,0.2,1.0,0.6,0.39,1.0
BioMistral-7B,2,C,C,True,C,True,0.75,typo,0.8,0.8,0.8,0.8,0.7499999999999999,0.1999999999999999
BioMistral-7B,2,C,C,True,C,True,0.75,synonym,1.0,1.0,1.0,1.0,0.72,0.0
BioMistral-7B,2,C,C,True,C,True,0.75,shuffle,0.8,0.8,0.8,0.8,0.62,0.1999999999999999
BioMistral-7B,2,C,C,True,C,True,0.75,truncate,1.0,1.0,1.0,1.0,0.86,0.0
BioMistral-7B,2,C,C,True,C,True,0.75,paraphrase,1.0,1.0,1.0,1.0,0.6,0.0
BioMistral-7B,3,D,B,False,B,False,0.45,typo,1.0,1.0,0.0,0.0,0.52,0.0
BioMistral-7B,3,D,B,False,B,False,0.45,synonym,1.0,0.6,0.0,0.0,0.3,0.0
BioMistral-7B,3,D,B,False,B,False,0.45,shuffle,1.0,1.0,0.0,0.0,0.51,0.0
BioMistral-7B,3,D,B,False,B,False,0.45,truncate,0.0,0.2,1.0,0.8,0.38,1.0
BioMistral-7B,3,D,B,False,B,False,0.45,paraphrase,1.0,0.8,0.0,0.0,0.37,0.0
BioMistral-7B,4,B,B,True,B,True,0.85,typo,1.0,1.0,1.0,1.0,0.7699999999999999,0.0
BioMistral-7B,4,B,B,True,B,True,0.85,synonym,1.0,1.0,1.0,1.0,0.86,0.0
BioMistral-7B,4,B,B,True,B,True,0.85,shuffle,1.0,1.0,1.0,1.0,0.8,0.0
BioMistral-7B,4,B,B,True,B,True,0.85,truncate,1.0,1.0,1.0,1.0,0.75,0.0
BioMistral-7B,4,B,B,True,B,True,0.85,paraphrase,1.0,1.0,1.0,1.0,0.74,0.0
BioMistral-7B,5,E,C,False,C,False,0.95,typo,1.0,1.0,0.0,0.0,0.8699999999999999,0.0
BioMistral-7B,5,E,C,False,C,False,0.95,synonym,1.0,1.0,0.0,0.0,0.9200000000000002,0.0
BioMistral-7B,5,E,C,False,C,False,0.95,shuffle,1.0,1.0,0.0,0.0,0.8099999999999999,0.0
BioMistral-7B,5,E,C,False,C,False,0.95,truncate,1.0,1.0,0.0,0.0,0.7200000000000001,0.0
BioMistral-7B,5,E,C,False,C,False,0.95,paraphrase,1.0,1.0,0.0,0.0,0.9,0.0
BioMistral-7B,6,D,D,True,D,True,0.7,typo,0.4,0.4,0.4,0.4,0.6599999999999999,0.6
BioMistral-7B,6,D,D,True,D,True,0.7,synonym,1.0,1.0,1.0,1.0,0.64,0.0
BioMistral-7B,6,D,D,True,D,True,0.7,shuffle,1.0,1.0,1.0,1.0,0.6599999999999999,0.0
BioMistral-7B,6,D,D,True,D,True,0.7,truncate,1.0,0.4,1.0,0.4,0.52,0.0
BioMistral-7B,6,D,D,True,D,True,0.7,paraphrase,1.0,1.0,1.0,1.0,0.6,0.0
BioMistral-7B,7,C,B,False,B,False,0.6,typo,0.4,0.4,0.6,0.6,0.4800000000000001,0.6
BioMistral-7B,7,C,B,False,B,False,0.6,synonym,0.8,0.6,0.2,0.4,0.56,0.1999999999999999
BioMistral-7B,7,C,B,False,B,False,0.6,shuffle,0.0,0.0,1.0,1.0,0.82,1.0
BioMistral-7B,7,C,B,False,B,False,0.6,truncate,0.0,0.2,1.0,0.8,0.47,1.0
BioMistral-7B,7,C,B,False,B,False,0.6,paraphrase,1.0,0.6,0.0,0.4,0.51,0.0
BioMistral-7B,8,C,A,False,A,False,0.7,typo,0.4,0.4,0.6,0.6,0.5799999999999998,0.6
BioMistral-7B,8,C,A,False,A,False,0.7,synonym,1.0,1.0,0.0,0.0,0.62,0.0
BioMistral-7B,8,C,A,False,A,False,0.7,shuffle,0.0,0.0,1.0,1.0,0.72,1.0
BioMistral-7B,8,C,A,False,A,False,0.7,truncate,0.0,0.2,1.0,0.8,0.4152,1.0
BioMistral-7B,8,C,A,False,A,False,0.7,paraphrase,1.0,1.0,0.0,0.0,0.6799999999999999,0.0
BioMistral-7B,9,A,A,True,A,True,0.65,typo,1.0,0.8,1.0,0.8,0.4548,0.0
BioMistral-7B,9,A,A,True,A,True,0.65,synonym,1.0,0.4,1.0,0.4,0.38,0.0
BioMistral-7B,9,A,A,True,A,True,0.65,shuffle,1.0,1.0,1.0,1.0,0.54,0.0
BioMistral-7B,9,A,A,True,A,True,0.65,truncate,1.0,0.8,1.0,0.8,0.5599999999999999,0.0
BioMistral-7B,9,A,A,True,A,True,0.65,paraphrase,1.0,1.0,1.0,1.0,0.4742,0.0
BioMistral-7B,10,E,E,True,E,True,0.7,typo,1.0,1.0,1.0,1.0,0.7999999999999999,0.0
BioMistral-7B,10,E,E,True,E,True,0.7,synonym,1.0,1.0,1.0,1.0,0.76,0.0
BioMistral-7B,10,E,E,True,E,True,0.7,shuffle,1.0,1.0,1.0,1.0,0.7899999999999999,0.0
BioMistral-7B,10,E,E,True,E,True,0.7,truncate,1.0,1.0,1.0,1.0,0.8,0.0
BioMistral-7B,10,E,E,True,E,True,0.7,paraphrase,1.0,1.0,1.0,1.0,0.8099999999999999,0.0
BioMistral-7B,11,D,D,True,D,True,0.9,typo,1.0,1.0,1.0,1.0,0.94,0.0
BioMistral-7B,11,D,D,True,D,True,0.9,synonym,1.0,1.0,1.0,1.0,0.95,0.0
BioMistral-7B,11,D,D,True,D,True,0.9,shuffle,0.4,0.6,0.4,0.6,0.49,0.6
BioMistral-7B,11,D,D,True,D,True,0.9,truncate,1.0,1.0,1.0,1.0,0.929,0.0
BioMistral-7B,11,D,D,True,D,True,0.9,paraphrase,1.0,1.0,1.0,1.0,0.95,0.0
BioMistral-7B,12,B,B,True,B,True,0.55,typo,0.6,0.8,0.6,0.8,0.53,0.4
BioMistral-7B,12,B,B,True,B,True,0.55,synonym,1.0,1.0,1.0,1.0,0.54,0.0
BioMistral-7B,12,B,B,True,B,True,0.55,shuffle,0.2,0.2,0.2,0.2,0.48,0.8
BioMistral-7B,12,B,B,True,B,True,0.55,truncate,0.0,0.0,0.0,0.0,0.73,1.0
BioMistral-7B,12,B,B,True,B,True,0.55,paraphrase,1.0,0.4,1.0,0.4,0.51,0.0
BioMistral-7B,13,E,B,False,B,False,0.8,typo,1.0,1.0,0.0,0.0,0.6,0.0
BioMistral-7B,13,E,B,False,B,False,0.8,synonym,1.0,1.0,0.0,0.0,0.5900000000000001,0.0
BioMistral-7B,13,E,B,False,B,False,0.8,shuffle,1.0,1.0,0.0,0.0,0.6599999999999999,0.0
BioMistral-7B,13,E,B,False,B,False,0.8,truncate,1.0,1.0,0.0,0.0,0.6299999999999999,0.0
BioMistral-7B,13,E,B,False,B,False,0.8,paraphrase,1.0,1.0,0.0,0.0,0.7200000000000001,0.0
BioMistral-7B,14,D,A,False,A,False,0.45,typo,1.0,1.0,0.0,0.0,0.55,0.0
BioMistral-7B,14,D,A,False,A,False,0.45,synonym,1.0,1.0,0.0,0.0,0.55,0.0
BioMistral-7B,14,D,A,False,A,False,0.45,shuffle,0.2,0.4,0.0,0.0,0.5700000000000001,0.8
BioMistral-7B,14,D,A,False,A,False,0.45,truncate,0.0,0.2,0.0,0.0,0.37,1.0
BioMistral-7B,14,D,A,False,A,False,0.45,paraphrase,1.0,1.0,0.0,0.0,0.53,0.0
BioMistral-7B,15,B,B,True,B,True,0.65,typo,1.0,0.8,1.0,0.8,0.71,0.0
BioMistral-7B,15,B,B,True,B,True,0.65,synonym,1.0,1.0,1.0,1.0,0.8099999999999999,0.0
BioMistral-7B,15,B,B,True,B,True,0.65,shuffle,0.2,0.2,0.2,0.2,0.52,0.8
BioMistral-7B,15,B,B,True,B,True,0.65,truncate,1.0,1.0,1.0,1.0,0.94,0.0
BioMistral-7B,15,B,B,True,B,True,0.65,paraphrase,1.0,1.0,1.0,1.0,0.85,0.0
BioMistral-7B,16,E,E,True,E,True,0.7,typo,0.8,0.8,0.8,0.8,0.6699999999999999,0.1999999999999999
BioMistral-7B,16,E,E,True,E,True,0.7,synonym,1.0,1.0,1.0,1.0,0.76,0.0
BioMistral-7B,16,E,E,True,E,True,0.7,shuffle,1.0,1.0,1.0,1.0,0.7300000000000001,0.0
BioMistral-7B,16,E,E,True,E,True,0.7,truncate,1.0,1.0,1.0,1.0,0.7499999999999999,0.0
BioMistral-7B,16,E,E,True,E,True,0.7,paraphrase,1.0,0.8,1.0,0.8,0.6499999999999999,0.0
BioMistral-7B,17,E,E,True,E,True,1.0,typo,1.0,1.0,1.0,1.0,0.96,0.0
BioMistral-7B,17,E,E,True,E,True,1.0,synonym,1.0,1.0,1.0,1.0,0.99,0.0
BioMistral-7B,17,E,E,True,E,True,1.0,shuffle,1.0,1.0,1.0,1.0,0.94,0.0
BioMistral-7B,17,E,E,True,E,True,1.0,truncate,1.0,1.0,1.0,1.0,0.97,0.0
BioMistral-7B,17,E,E,True,E,True,1.0,paraphrase,1.0,1.0,1.0,1.0,0.99,0.0
BioMistral-7B,18,B,B,True,B,True,0.45,typo,1.0,1.0,1.0,1.0,0.56,0.0
BioMistral-7B,18,B,B,True,B,True,0.45,synonym,1.0,0.8,1.0,0.8,0.53,0.0
BioMistral-7B,18,B,B,True,B,True,0.45,shuffle,0.2,0.4,0.2,0.4,0.39,0.8
BioMistral-7B,18,B,B,True,B,True,0.45,truncate,1.0,0.6,1.0,0.6,0.53,0.0
BioMistral-7B,18,B,B,True,B,True,0.45,paraphrase,0.8,0.6,0.8,0.6,0.5599999999999999,0.1999999999999999
BioMistral-7B,19,E,C,False,C,False,1.0,typo,0.8,0.8,0.2,0.2,0.78,0.1999999999999999
BioMistral-7B,19,E,C,False,C,False,1.0,synonym,1.0,1.0,0.0,0.0,0.99,0.0
BioMistral-7B,19,E,C,False,C,False,1.0,shuffle,0.8,0.8,0.2,0.2,0.82,0.1999999999999999
BioMistral-7B,19,E,C,False,C,False,1.0,truncate,1.0,1.0,0.0,0.0,0.9399999999999998,0.0
BioMistral-7B,19,E,C,False,C,False,1.0,paraphrase,1.0,1.0,0.0,0.0,0.98,0.0
BioMistral-7B,20,C,E,False,A,False,0.55,typo,1.0,0.0,0.0,0.0,0.6399999999999999,0.0
BioMistral-7B,20,C,E,False,A,False,0.55,synonym,1.0,0.0,0.0,0.0,0.62,0.0
BioMistral-7B,20,C,E,False,A,False,0.55,shuffle,0.0,0.4,0.6,0.6,0.7400000000000001,1.0
